dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae
feats10_snr3_N100000,10,3,100000,7,sklearn_fixed,7.241282500006491,0.7422412895100652,1.8079124678793068,1.4410620093150963
feats10_snr3_N100000,10,3,100000,8,sklearn_fixed,7.190970499999821,0.7457361366244734,1.801422602102593,1.4349428896123713
feats10_snr3_N100000,10,3,100000,9,sklearn_fixed,9.686252899991814,0.7444379797860283,1.8085066456470873,1.4427473763939354
feats10_snr3_N10000,10,3,10000,0,sklearn_fixed,1.4547837999998592,0.728693662173753,1.5149556732053324,1.2096387293084605
feats10_snr3_N10000,10,3,10000,1,sklearn_fixed,1.2602351999958046,0.7138007993837501,1.5381374221265849,1.2265538808531182
feats10_snr3_N10000,10,3,10000,2,sklearn_fixed,1.404510599997593,0.7277541133641352,1.5186317020680817,1.2167851584621505
feats10_snr3_N10000,10,3,10000,3,sklearn_fixed,1.9126900999981444,0.7270987731507158,1.506232615569409,1.2030287923007605
feats10_snr3_N10000,10,3,10000,4,sklearn_fixed,1.6592701000045054,0.7283356196320702,1.5168957086556696,1.2092751522905074
feats10_snr3_N10000,10,3,10000,5,sklearn_fixed,1.5450933999964036,0.7288187678128781,1.515336205655538,1.2079876698112246
feats10_snr3_N10000,10,3,10000,6,sklearn_fixed,1.5432545999938156,0.7276211181971631,1.5160371354452065,1.2137209107102056
feats10_snr3_N10000,10,3,10000,7,sklearn_fixed,1.3372269000101369,0.72413048617373,1.5305811330773758,1.2220104970721803
feats10_snr3_N10000,10,3,10000,8,sklearn_fixed,1.7091247999924235,0.7202334796466328,1.5260584269132653,1.2155743566952812
feats10_snr3_N10000,10,3,10000,9,sklearn_fixed,1.2441995000117458,0.7210902386871293,1.5292392380484892,1.2213273752566747
feats10_snr3_N500000,10,3,500000,0,sklearn_fixed,27.779171700007282,0.7481137633376558,1.070287219453159,0.8538312687350409
feats10_snr3_N500000,10,3,500000,1,sklearn_fixed,26.31561709998641,0.7488474505220191,1.0679180919137292,0.8519305815318391
feats10_snr3_N500000,10,3,500000,2,sklearn_fixed,59.09794289999991,0.7477891376775083,1.0685655296029468,0.8521300939766644
feats10_snr3_N500000,10,3,500000,3,sklearn_fixed,29.088089600001695,0.7487462435042406,1.0681368533001596,0.8517628191502581
feats10_snr3_N500000,10,3,500000,4,sklearn_fixed,45.75570169999264,0.7481251959637913,1.070211149281349,0.853383344785446
feats10_snr3_N500000,10,3,500000,5,sklearn_fixed,38.52973320000456,0.7481293269134857,1.06939296741125,0.8529608736557963
feats10_snr3_N500000,10,3,500000,6,sklearn_fixed,35.25733239998226,0.7487455167163592,1.0687899071876974,0.851850656435233
feats10_snr3_N500000,10,3,500000,7,sklearn_fixed,29.491586699994514,0.748639773522227,1.069656324319012,0.8536164176099761
feats10_snr3_N500000,10,3,500000,8,sklearn_fixed,37.876415200007614,0.74687421164588,1.0712117160588899,0.8543177311555047
feats10_snr3_N500000,10,3,500000,9,sklearn_fixed,39.51389740000013,0.7477372127523372,1.0700211238939876,0.8531193739777955
feats20_snr10_N100000,20,10,100000,0,sklearn_fixed,8.974819700000808,0.9037892198348617,1.408827045048825,1.1225576440557665
feats20_snr10_N100000,20,10,100000,1,sklearn_fixed,9.29884229999152,0.9038212714912537,1.4016904967356378,1.1185400422347174
feats20_snr10_N100000,20,10,100000,2,sklearn_fixed,12.29421029999503,0.9030329054752696,1.4070313757454458,1.1217335054306907
feats20_snr10_N100000,20,10,100000,3,sklearn_fixed,11.681095600011759,0.9042763176888591,1.4048591366240737,1.1209005450893124
feats20_snr10_N100000,20,10,100000,4,sklearn_fixed,11.288414700014982,0.9020314660387974,1.4123744954346014,1.1259454912133406
feats20_snr10_N100000,20,10,100000,5,sklearn_fixed,12.138715899985982,0.9034055667115205,1.406598592159296,1.121945948227436
feats20_snr10_N100000,20,10,100000,6,sklearn_fixed,13.139362899994012,0.9029560005959602,1.4093697003353542,1.125271409969147
feats20_snr10_N100000,20,10,100000,7,sklearn_fixed,8.811624299996765,0.9034135952327481,1.403912522491252,1.1179008982162622
feats20_snr10_N100000,20,10,100000,8,sklearn_fixed,14.229741200018907,0.904073856240046,1.40511202951472,1.121577245005026
feats20_snr10_N100000,20,10,100000,9,sklearn_fixed,8.358056299999589,0.9032837459198715,1.406677670183256,1.1214410116335318
feats20_snr10_N10000,20,10,10000,0,sklearn_fixed,2.320925599982729,0.8770411215932007,1.7788762869643342,1.4143332762946437
feats20_snr10_N10000,20,10,10000,1,sklearn_fixed,2.0810188000032213,0.8777477459588248,1.7788038389777883,1.4050434444000202
feats20_snr10_N10000,20,10,10000,2,sklearn_fixed,2.1503739999898244,0.8763364728332229,1.7914114398510395,1.4293002514446063
feats20_snr10_N10000,20,10,10000,3,sklearn_fixed,2.421357099985471,0.8817116050901898,1.7643420104875769,1.404971652741015
feats20_snr10_N10000,20,10,10000,4,sklearn_fixed,1.534904500003904,0.8788789373114836,1.753955387248418,1.389419468283169
feats20_snr10_N10000,20,10,10000,5,sklearn_fixed,2.2928857000079006,0.8784086120531804,1.79409734241731,1.4290768740751294
feats20_snr10_N10000,20,10,10000,6,sklearn_fixed,2.4804589999839664,0.8803937714173198,1.7888127042886433,1.4207404390161107
feats20_snr10_N10000,20,10,10000,7,sklearn_fixed,2.3778868000081275,0.8798771262797066,1.7615609483666677,1.3984019181283318
feats20_snr10_N10000,20,10,10000,8,sklearn_fixed,1.7406003000214696,0.8836080645162621,1.7538499362812594,1.3931206507493166
feats20_snr10_N10000,20,10,10000,9,sklearn_fixed,2.217995500017423,0.8761342363575297,1.7796022917524195,1.4205732734394227
feats20_snr10_N500000,20,10,500000,0,sklearn_fixed,41.098580199992284,0.9059619696834647,1.2471207257381538,0.9955221086506285
feats20_snr10_N500000,20,10,500000,1,sklearn_fixed,44.977073599991854,0.9065091563615372,1.2435742714829527,0.9923310829653142
feats20_snr10_N500000,20,10,500000,2,sklearn_fixed,30.995204299979378,0.9058478788216913,1.2472595341759256,0.9951453409673141
feats20_snr10_N500000,20,10,500000,3,sklearn_fixed,64.28051320000668,0.9068628992337336,1.24289766377227,0.991831778891179
feats20_snr10_N500000,20,10,500000,4,sklearn_fixed,41.39487270000973,0.9055909813307024,1.2462223166239599,0.9942664694135489
feats20_snr10_N500000,20,10,500000,5,sklearn_fixed,46.19061390002025,0.9061562830883634,1.2458183095370758,0.9937127561605724
feats20_snr10_N500000,20,10,500000,6,sklearn_fixed,67.68341920000967,0.9067643247625047,1.241750035186043,0.990115222348141
feats20_snr10_N500000,20,10,500000,7,sklearn_fixed,45.760946800000966,0.9061475167788704,1.2433797487293479,0.9922861676717761
feats20_snr10_N500000,20,10,500000,8,sklearn_fixed,49.83190310001373,0.905485998910869,1.2472255774491086,0.99515210527898
feats20_snr10_N500000,20,10,500000,9,sklearn_fixed,27.550181400001748,0.906254934353666,1.2453255897668882,0.9930594255659396
feats20_snr3_N100000,20,3,100000,0,sklearn_fixed,9.984807300003013,0.7418763882968262,2.094126509502245,1.6686833637834626
feats20_snr3_N100000,20,3,100000,1,sklearn_fixed,11.144711999979336,0.7424277249727891,2.0928811489649597,1.6698278815111849
feats20_snr3_N100000,20,3,100000,2,sklearn_fixed,7.908781400008593,0.7411748157516783,2.09225585119198,1.6693736897007145
feats20_snr3_N100000,20,3,100000,3,sklearn_fixed,11.541998799977591,0.7398157677723689,2.104085097820728,1.680143445713945
feats20_snr3_N100000,20,3,100000,4,sklearn_fixed,8.65681859999313,0.740825436943594,2.0945748989774273,1.6735473163155934
feats20_snr3_N100000,20,3,100000,5,sklearn_fixed,7.515505399991525,0.7426193376465926,2.0919286599790095,1.671768670754854
feats20_snr3_N100000,20,3,100000,6,sklearn_fixed,8.590977799991379,0.7417075325263498,2.093693115694,1.6717502522659247
feats20_snr3_N100000,20,3,100000,7,sklearn_fixed,8.094764399982523,0.7431992765657361,2.092748478172934,1.6696825535373896
feats20_snr3_N100000,20,3,100000,8,sklearn_fixed,7.686033000005409,0.7418312065467779,2.0930770888264054,1.6683688911697436
feats20_snr3_N100000,20,3,100000,9,sklearn_fixed,8.324953000003006,0.7417198438490888,2.093056327870495,1.6720904032951847
