dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae,best_params
feats5_snr10_N100000,5,10,100000,2,xgboost,0.2837932000402361,0.9051162012120904,0.9695450131782475,0.7721334267576527,
feats5_snr10_N100000,5,10,100000,3,xgboost,0.2836604999611154,0.9046272586613103,0.9723184060683289,0.7769177801464865,
feats5_snr10_N100000,5,10,100000,4,xgboost,0.2928450999315828,0.9041267658395463,0.9719034927198442,0.7744233621699401,
feats5_snr10_N100000,5,10,100000,5,xgboost,0.30817869992461056,0.904885361443278,0.9707543856116373,0.7747071070327514,
feats5_snr10_N100000,5,10,100000,6,xgboost,0.28693780000321567,0.9052844253718602,0.9693418177855315,0.7723642261363524,
feats5_snr10_N100000,5,10,100000,7,xgboost,0.29075529996771365,0.9058400746962976,0.9658756045971577,0.7719585503549184,
feats5_snr10_N100000,5,10,100000,8,xgboost,0.2882111999206245,0.9059985222203831,0.9680742228982699,0.7718615473856819,
feats5_snr10_N100000,5,10,100000,9,xgboost,0.2975744999712333,0.9047410378406484,0.968330348418086,0.772607281387975,
feats5_snr10_N10000,5,10,10000,0,xgboost,0.1430941999424249,0.8908361947611615,0.8184428430232955,0.649521359944813,
feats5_snr10_N10000,5,10,10000,1,xgboost,0.13664259994402528,0.8951392478677999,0.8116931968236288,0.6469482533854419,
feats5_snr10_N10000,5,10,10000,2,xgboost,0.1403508000075817,0.8917937788028532,0.8203081331969948,0.6525061529064136,
feats5_snr10_N10000,5,10,10000,3,xgboost,0.13965879997704178,0.896687909185603,0.8039551636843448,0.6405161644986117,
feats5_snr10_N10000,5,10,10000,4,xgboost,0.13470480008982122,0.8951759162161449,0.8009809120271562,0.6361712171723845,
feats5_snr10_N10000,5,10,10000,5,xgboost,0.1914972000522539,0.8926392491493024,0.8164172264960579,0.6496383924859276,
feats5_snr10_N10000,5,10,10000,6,xgboost,0.1583376000635326,0.8974724571729239,0.806945679401167,0.6441776231077491,
feats5_snr10_N10000,5,10,10000,7,xgboost,0.14369880000595003,0.8976895009851613,0.7980424727455863,0.6377702260556003,
feats5_snr10_N10000,5,10,10000,8,xgboost,0.13439110002946109,0.8954306278902326,0.8085508898949599,0.6443130407371697,
feats5_snr10_N10000,5,10,10000,9,xgboost,0.14035150001291186,0.8958407913328548,0.8111461155336611,0.6435984177492983,
feats5_snr10_N500000,5,10,500000,0,xgboost,1.0419952999800444,0.9073566941950552,0.9553733792368849,0.7616230269681059,
feats5_snr10_N500000,5,10,500000,1,xgboost,0.9732041000388563,0.9068149978358101,0.9555464967918044,0.7623111966326099,
feats5_snr10_N500000,5,10,500000,2,xgboost,0.8707613000879064,0.9074208659026339,0.9546467443378334,0.7616858578876029,
feats5_snr10_N500000,5,10,500000,3,xgboost,0.9002066999673843,0.9076876436458601,0.9545247158069745,0.7610545928431011,
feats5_snr10_N500000,5,10,500000,4,xgboost,0.8707790001062676,0.9077166370670617,0.9534851526974125,0.7602750469624852,
feats5_snr10_N500000,5,10,500000,5,xgboost,0.8665072000585496,0.9076783152822232,0.9534968496242052,0.760642479897789,
feats5_snr10_N500000,5,10,500000,6,xgboost,0.8766162999672815,0.9070317124396619,0.9553666706448634,0.7612121672332182,
feats5_snr10_N500000,5,10,500000,7,xgboost,0.8704250000882894,0.9069097815963755,0.9560880210996464,0.762712650342569,
feats5_snr10_N500000,5,10,500000,8,xgboost,0.8974647000432014,0.9068579373621586,0.9567067707658032,0.7628118241297099,
feats5_snr10_N500000,5,10,500000,9,xgboost,0.9194031999213621,0.9073788014454989,0.9553885789533624,0.7617812377200717,
feats5_snr3_N100000,5,3,100000,0,xgboost,0.2851738999597728,0.7450962323883237,1.6864421564225451,1.3429617621970444,
feats5_snr3_N100000,5,3,100000,1,xgboost,0.293688099947758,0.745801514919451,1.679131290452672,1.3370918513335353,
feats5_snr3_N100000,5,3,100000,2,xgboost,0.30618569999933243,0.7423474260051461,1.6878943476809776,1.3439006930877915,
feats5_snr3_N100000,5,3,100000,3,xgboost,0.34490080003160983,0.7428338608684192,1.6889512089852494,1.3459068914527657,
feats5_snr3_N100000,5,3,100000,4,xgboost,0.31580700003542006,0.7411619674072891,1.6884772634523428,1.345662640960791,
feats5_snr3_N100000,5,3,100000,5,xgboost,0.3042593999998644,0.74422453152805,1.6862649699294523,1.3458189114704033,
feats5_snr3_N100000,5,3,100000,6,xgboost,0.33876209997106344,0.7412700566286756,1.6894227570781095,1.3445224039069121,
feats5_snr3_N100000,5,3,100000,7,xgboost,0.3177940999157727,0.7422385872951801,1.686353174974239,1.34501092850597,
feats5_snr3_N100000,5,3,100000,8,xgboost,0.32805219991132617,0.743589974930323,1.6811969953422623,1.3363337743357828,
feats5_snr3_N100000,5,3,100000,9,xgboost,0.3049219000386074,0.7424067448361584,1.6842379602938233,1.3402980072131223,
feats5_snr3_N10000,5,3,10000,0,xgboost,0.16424519999418408,0.727906172624055,2.2303012348569964,1.7715277935369196,
feats5_snr3_N10000,5,3,10000,1,xgboost,0.18919009994715452,0.7297377717338045,2.238621895991372,1.7848377597576741,
