dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae,best_params
feats10_snr3_N10000,10,3,10000,4,torch_mlp_cuda,2.0779006999218836,0.7368745331918101,1.492865842649151,1.1901732683181763,
feats10_snr3_N10000,10,3,10000,5,torch_mlp_cuda,1.3537668999051675,0.738495804069276,1.4880534320590098,1.1876804828643799,
feats10_snr3_N10000,10,3,10000,6,torch_mlp_cuda,1.535735800047405,0.7353623185518103,1.49433839773091,1.1946748495101929,
feats10_snr3_N10000,10,3,10000,7,torch_mlp_cuda,1.9750991000328213,0.7303723685845127,1.5131664195137033,1.2081209421157837,
feats10_snr3_N10000,10,3,10000,8,torch_mlp_cuda,1.9207281999988481,0.7309108412225157,1.4966538777615637,1.190643548965454,
feats10_snr3_N10000,10,3,10000,9,torch_mlp_cuda,2.033603799995035,0.7292390437421494,1.5067339582663697,1.204115629196167,
feats10_snr3_N500000,10,3,500000,0,torch_mlp_cuda,132.73900680011138,0.7474420971025506,1.0717132757758687,0.8549993634223938,
feats10_snr3_N500000,10,3,500000,1,torch_mlp_cuda,149.18733809993137,0.7474937763967509,1.0707922090186404,0.8543382287025452,
feats10_snr3_N500000,10,3,500000,2,torch_mlp_cuda,112.1199595000362,0.7471187289698671,1.069984831390531,0.8531062006950378,
feats10_snr3_N500000,10,3,500000,3,torch_mlp_cuda,111.54556720005348,0.7474706488694733,1.0708448659273362,0.8541756272315979,
feats10_snr3_N500000,10,3,500000,4,torch_mlp_cuda,132.00480850005988,0.747239492810755,1.0720912325988492,0.8549292683601379,
feats10_snr3_N500000,10,3,500000,5,torch_mlp_cuda,133.00288469996303,0.7473197238718778,1.0711103375442195,0.8543233275413513,
feats10_snr3_N500000,10,3,500000,6,torch_mlp_cuda,116.5275541000301,0.7474990814223378,1.0714377175803587,0.8540741205215454,
feats10_snr3_N500000,10,3,500000,7,torch_mlp_cuda,132.74817919998895,0.7473241943990578,1.0724518827835239,0.8557762503623962,
feats10_snr3_N500000,10,3,500000,8,torch_mlp_cuda,112.26671839994378,0.7457549201448349,1.0735774119786627,0.8565095663070679,
feats10_snr3_N500000,10,3,500000,9,torch_mlp_cuda,97.58178899995983,0.7467781344057834,1.0720532594374947,0.8549963235855103,
feats20_snr10_N100000,20,10,100000,0,torch_mlp_cuda,13.714723499957472,0.9003268534814365,1.4339530141254142,1.1430281400680542,
feats20_snr10_N100000,20,10,100000,1,torch_mlp_cuda,13.573385499999858,0.9015543060849992,1.418113596009979,1.1308653354644775,
feats20_snr10_N100000,20,10,100000,2,torch_mlp_cuda,13.582416599965654,0.9006112814104622,1.4244924076262273,1.1357369422912598,
feats20_snr10_N100000,20,10,100000,3,torch_mlp_cuda,13.651595800067298,0.9025396073636618,1.4175457284000057,1.1310678720474243,
feats20_snr10_N100000,20,10,100000,4,torch_mlp_cuda,13.737522099982016,0.9002362777950235,1.4252560837178716,1.1362544298171997,
feats20_snr10_N100000,20,10,100000,5,torch_mlp_cuda,13.756575100007467,0.9013152554419249,1.4217365742467567,1.1333305835723877,
feats20_snr10_N100000,20,10,100000,6,torch_mlp_cuda,13.64786120003555,0.9011013083959408,1.4227737269322576,1.1354854106903076,
feats20_snr10_N100000,20,10,100000,7,torch_mlp_cuda,13.833698600064963,0.9001197040840706,1.4276507936323084,1.1362742185592651,
feats20_snr10_N100000,20,10,100000,8,torch_mlp_cuda,13.970526100019924,0.9005444378657164,1.4307278876014808,1.141506552696228,
feats20_snr10_N100000,20,10,100000,9,torch_mlp_cuda,14.228934200014919,0.9007980378619734,1.4246395190527414,1.1368306875228882,
feats20_snr10_N10000,20,10,10000,0,torch_mlp_cuda,1.958098099916242,0.8915959400784947,1.6702774829244988,1.3256418704986572,
feats20_snr10_N10000,20,10,10000,1,torch_mlp_cuda,2.163012299919501,0.8922596706470636,1.6698935344588925,1.32456636428833,
feats20_snr10_N10000,20,10,10000,2,torch_mlp_cuda,2.105922400020063,0.8925643368020166,1.6697397590068421,1.326483964920044,
feats20_snr10_N10000,20,10,10000,3,torch_mlp_cuda,2.107882299926132,0.893813462052917,1.671654160789702,1.3310939073562622,
feats20_snr10_N10000,20,10,10000,4,torch_mlp_cuda,1.7815104000037536,0.8929995827153878,1.6485474897815542,1.3059728145599365,
feats20_snr10_N10000,20,10,10000,5,torch_mlp_cuda,1.722513600019738,0.8935149598370644,1.6789542793514987,1.332082986831665,
feats20_snr10_N10000,20,10,10000,6,torch_mlp_cuda,2.003072699997574,0.8957786215886363,1.6698073676932428,1.3197227716445923,
feats20_snr10_N10000,20,10,10000,7,torch_mlp_cuda,2.0626055999891832,0.893016279210621,1.662431302479738,1.313750147819519,
feats20_snr10_N10000,20,10,10000,8,torch_mlp_cuda,1.7458174999337643,0.8949878420617164,1.6659070747672704,1.3198779821395874,
feats20_snr10_N10000,20,10,10000,9,torch_mlp_cuda,1.882128999917768,0.8908159324839834,1.670809611328879,1.3375133275985718,
feats20_snr10_N500000,20,10,500000,0,torch_mlp_cuda,91.77743110002484,0.9050599678239908,1.2530875697455732,1.0002883672714233,
feats20_snr10_N500000,20,10,500000,1,torch_mlp_cuda,92.34675759996753,0.9053334558133469,1.2513689651107487,0.9983790516853333,
feats20_snr10_N500000,20,10,500000,2,torch_mlp_cuda,92.77642310003284,0.9053760765440334,1.2503806488296967,0.9978387951850891,
feats20_snr10_N500000,20,10,500000,3,torch_mlp_cuda,91.77527820004616,0.905975985681976,1.2488015151447829,0.9971398711204529,
feats20_snr10_N500000,20,10,500000,4,torch_mlp_cuda,78.78346399997827,0.9045928088500186,1.2527931477932968,0.9993436336517334,
feats20_snr10_N500000,20,10,500000,5,torch_mlp_cuda,59.773690999951214,0.905585484413826,1.249601300551242,0.9969931244850159,
feats20_snr10_N500000,20,10,500000,6,torch_mlp_cuda,59.352947600069456,0.9053564054375628,1.2510906706441347,0.9977482557296753,
feats20_snr10_N500000,20,10,500000,7,torch_mlp_cuda,59.71927930007223,0.9049528497078458,1.2512683155956301,0.9987729787826538,
feats20_snr10_N500000,20,10,500000,8,torch_mlp_cuda,59.46843190002255,0.9043072797591258,1.254978612664349,1.0006510019302368,
feats20_snr10_N500000,20,10,500000,9,torch_mlp_cuda,59.66523010004312,0.9057870834504438,1.2484292174483496,0.996006429195404,
feats20_snr3_N100000,20,3,100000,0,torch_mlp_cuda,13.092994000064209,0.7407175272690649,2.0988219589974917,1.6734966039657593,
feats20_snr3_N100000,20,3,100000,1,torch_mlp_cuda,13.511886399937794,0.7414745706625471,2.0967500743236007,1.6734609603881836,
feats20_snr3_N100000,20,3,100000,2,torch_mlp_cuda,13.676812500110827,0.7379705616853425,2.1051671762295427,1.6791574954986572,
feats20_snr3_N100000,20,3,100000,3,torch_mlp_cuda,13.702984799980186,0.7386124028232948,2.1089451104550716,1.6845426559448242,
feats20_snr3_N100000,20,3,100000,4,torch_mlp_cuda,13.62720970006194,0.7396229865845374,2.099428248909821,1.6758837699890137,
feats20_snr3_N100000,20,3,100000,5,torch_mlp_cuda,13.54530340002384,0.7400970331329136,2.102154049347069,1.6792948246002197,
feats20_snr3_N100000,20,3,100000,6,torch_mlp_cuda,13.638260900042951,0.7404068628015127,2.0989582702283323,1.675650954246521,
feats20_snr3_N100000,20,3,100000,7,torch_mlp_cuda,13.653464700095356,0.7426254602764097,2.0950852876113952,1.6718320846557617,
feats20_snr3_N100000,20,3,100000,8,torch_mlp_cuda,13.669864499941468,0.7403493809307411,2.099075263641793,1.6729450225830078,
feats20_snr3_N100000,20,3,100000,9,torch_mlp_cuda,13.59303029999137,0.7401051426084582,2.099588594555595,1.6751350164413452,
feats20_snr3_N10000,20,3,10000,0,torch_mlp_cuda,1.1702288000378758,0.7292184545395723,2.7523477242988177,2.202820301055908,
feats20_snr3_N10000,20,3,10000,1,torch_mlp_cuda,1.233824499999173,0.7291985264646166,2.7641304417481862,2.192944049835205,
feats20_snr3_N10000,20,3,10000,2,torch_mlp_cuda,1.0910323000280187,0.7250703030572069,2.772593797037857,2.2026102542877197,
feats20_snr3_N10000,20,3,10000,3,torch_mlp_cuda,1.1303373000118881,0.7142133322267749,2.8232179506753248,2.2620654106140137,
feats20_snr3_N10000,20,3,10000,4,torch_mlp_cuda,1.103180600097403,0.72249251978779,2.804781601371198,2.234187126159668,
feats20_snr3_N10000,20,3,10000,5,torch_mlp_cuda,1.1849700999446213,0.7242113012917,2.777401522479516,2.2146761417388916,
feats20_snr3_N10000,20,3,10000,6,torch_mlp_cuda,1.1184507000725716,0.7235864693679396,2.765537066597306,2.2009541988372803,
feats20_snr3_N10000,20,3,10000,7,torch_mlp_cuda,1.1718910000054166,0.7282577777009432,2.8052952355032796,2.239715337753296,
feats20_snr3_N10000,20,3,10000,8,torch_mlp_cuda,1.1357846999308094,0.7252331387687816,2.7864767959315824,2.221588611602783,
feats20_snr3_N10000,20,3,10000,9,torch_mlp_cuda,1.166851400048472,0.732257994644899,2.7509387754770804,2.196676015853882,
feats20_snr3_N500000,20,3,500000,0,torch_mlp_cuda,59.33593739999924,0.7449106349635346,2.3377322443676483,1.8653422594070435,
feats20_snr3_N500000,20,3,500000,1,torch_mlp_cuda,59.8842518000165,0.7457296086962644,2.3354391631767895,1.8645846843719482,
feats20_snr3_N500000,20,3,500000,2,torch_mlp_cuda,60.18050460005179,0.7439898483524656,2.343775431177132,1.8699159622192383,
feats20_snr3_N500000,20,3,500000,3,torch_mlp_cuda,59.93172480002977,0.7450511343512662,2.339202232493628,1.866532802581787,
feats20_snr3_N500000,20,3,500000,4,torch_mlp_cuda,59.94769649999216,0.7451665381758943,2.3403567355225174,1.8666750192642212,
feats20_snr3_N500000,20,3,500000,5,torch_mlp_cuda,59.31030839995947,0.7451178372850259,2.3383231850383703,1.865431547164917,
feats20_snr3_N500000,20,3,500000,6,torch_mlp_cuda,59.88356470002327,0.7449674427346454,2.3406862706720015,1.8671972751617432,
feats20_snr3_N500000,20,3,500000,7,torch_mlp_cuda,60.04672759992536,0.7450888671100417,2.3402028007332123,1.8685067892074585,
feats20_snr3_N500000,20,3,500000,8,torch_mlp_cuda,58.771521000075154,0.7446866823968366,2.3417389443353307,1.8695954084396362,
feats20_snr3_N500000,20,3,500000,9,torch_mlp_cuda,59.58100840006955,0.7453951998862627,2.3394025026743566,1.8658157587051392,
feats5_snr10_N100000,5,10,100000,0,torch_mlp_cuda,13.147007199935615,0.9080486135534865,0.952708512909655,0.7608559131622314,
feats5_snr10_N100000,5,10,100000,1,torch_mlp_cuda,13.602119299932383,0.9080216695595947,0.9575132440791485,0.7632766962051392,
feats5_snr10_N100000,5,10,100000,2,torch_mlp_cuda,13.739547000033781,0.90831811310301,0.9530456072150563,0.7598362565040588,
feats5_snr10_N100000,5,10,100000,3,torch_mlp_cuda,13.679955099942163,0.9077091907631776,0.9564792520313746,0.765138566493988,
feats5_snr10_N100000,5,10,100000,4,torch_mlp_cuda,13.640820300090127,0.9078183377826815,0.9530084882720441,0.7604243755340576,
feats5_snr10_N100000,5,10,100000,5,torch_mlp_cuda,13.762956500053406,0.9081713517911483,0.953838394088513,0.7613476514816284,
feats5_snr10_N100000,5,10,100000,6,torch_mlp_cuda,13.654186100000516,0.9084145630634455,0.9531898789133826,0.7608670592308044,
feats5_snr10_N100000,5,10,100000,7,torch_mlp_cuda,13.55177050002385,0.909136566722775,0.9488176039783419,0.7583481073379517,
feats5_snr10_N100000,5,10,100000,8,torch_mlp_cuda,13.557253300095908,0.9098754997941958,0.9479005868127791,0.7563424706459045,
feats5_snr10_N100000,5,10,100000,9,torch_mlp_cuda,13.654229699983262,0.9082319757774047,0.9504215798313016,0.7590664029121399,
feats5_snr10_N10000,5,10,10000,0,torch_mlp_cuda,1.289264699909836,0.9046412005895226,0.7649435007511539,0.6083013415336609,
feats5_snr10_N10000,5,10,10000,1,torch_mlp_cuda,1.2752858999883756,0.9066452654686554,0.7658674673609989,0.6099494099617004,
feats5_snr10_N10000,5,10,10000,2,torch_mlp_cuda,1.1331169001059607,0.9040706903518178,0.7723720417401295,0.613166332244873,
feats5_snr10_N10000,5,10,10000,3,torch_mlp_cuda,1.1823358999099582,0.9084246345147831,0.756912404781199,0.6001733541488647,
feats5_snr10_N10000,5,10,10000,4,torch_mlp_cuda,1.1578587000258267,0.9041856038341247,0.7657853172768657,0.6080120801925659,
feats5_snr10_N10000,5,10,10000,5,torch_mlp_cuda,1.2154986000386998,0.9056142063369071,0.7654956786259842,0.6099374294281006,
feats5_snr10_N10000,5,10,10000,6,torch_mlp_cuda,1.1985742000397295,0.9099627807109796,0.756197200855118,0.6040990352630615,
feats5_snr10_N10000,5,10,10000,7,torch_mlp_cuda,1.2996413999935612,0.9085421732272154,0.7545298235909983,0.600379228591919,
feats5_snr10_N10000,5,10,10000,8,torch_mlp_cuda,1.267416000016965,0.9071542617913767,0.7618792242569888,0.605175256729126,
feats5_snr10_N10000,5,10,10000,9,torch_mlp_cuda,1.1753998000640422,0.9075570556226615,0.764165109246628,0.6065161228179932,
feats5_snr10_N500000,5,10,500000,0,torch_mlp_cuda,59.66046030004509,0.9088109971240548,0.9478449986511761,0.7560812830924988,
feats5_snr10_N500000,5,10,500000,1,torch_mlp_cuda,61.01803190005012,0.9080617517542608,0.949132750583143,0.7577202320098877,
feats5_snr10_N500000,5,10,500000,2,torch_mlp_cuda,59.63767779991031,0.9085353201284067,0.9488834369692891,0.7574350237846375,
feats5_snr10_N500000,5,10,500000,3,torch_mlp_cuda,60.115701199974865,0.9091789439552194,0.9467831670966638,0.7550107836723328,
feats5_snr10_N500000,5,10,500000,4,torch_mlp_cuda,59.69442090007942,0.9088118912116082,0.9478102543946079,0.7562268376350403,
feats5_snr10_N500000,5,10,500000,5,torch_mlp_cuda,59.999975400045514,0.9085554669012779,0.9489563630324733,0.7571882009506226,
feats5_snr10_N500000,5,10,500000,6,torch_mlp_cuda,59.430318400030956,0.9072520660658534,0.9542336504272403,0.7605301737785339,
feats5_snr10_N500000,5,10,500000,7,torch_mlp_cuda,59.336283700075,0.9083817158867233,0.9484990849367352,0.7570244669914246,
feats5_snr10_N500000,5,10,500000,8,torch_mlp_cuda,59.26673890009988,0.9080235444128099,0.9507016502041036,0.7583798766136169,
feats5_snr10_N500000,5,10,500000,9,torch_mlp_cuda,59.6449707999127,0.9088827029458417,0.9476005984426422,0.7561666369438171,
feats5_snr3_N100000,5,3,100000,0,torch_mlp_cuda,13.297109400038607,0.7486946804049339,1.6744961735250834,1.333910584449768,
feats5_snr3_N100000,5,3,100000,1,torch_mlp_cuda,13.515393399982713,0.7500352633222607,1.665089464962939,1.3263940811157227,
feats5_snr3_N100000,5,3,100000,2,torch_mlp_cuda,13.702013800037093,0.7467959633840486,1.673259696454733,1.3320590257644653,
feats5_snr3_N100000,5,3,100000,3,torch_mlp_cuda,14.122151999967173,0.7468282127218704,1.6757833840950136,1.3370035886764526,
feats5_snr3_N100000,5,3,100000,4,torch_mlp_cuda,13.773387999972329,0.7449768861327195,1.6759883156917674,1.336656928062439,
feats5_snr3_N100000,5,3,100000,5,torch_mlp_cuda,13.614755299990065,0.7485450577839864,1.671962343590429,1.3344825506210327,
feats5_snr3_N100000,5,3,100000,6,torch_mlp_cuda,13.756560599897057,0.745917183831057,1.674181906347692,1.3321995735168457,
feats5_snr3_N100000,5,3,100000,7,torch_mlp_cuda,13.586982799926773,0.7450686268552845,1.6770701753404231,1.3373879194259644,
feats5_snr3_N100000,5,3,100000,8,torch_mlp_cuda,13.627602000022307,0.7476950701536711,1.667684776557546,1.326322078704834,
feats5_snr3_N100000,5,3,100000,9,torch_mlp_cuda,13.578943399945274,0.7462552951880348,1.6716088769469348,1.330692172050476,
feats5_snr3_N10000,5,3,10000,0,torch_mlp_cuda,1.205227099941112,0.7491577102462912,2.141433229105974,1.6953566074371338,
feats5_snr3_N10000,5,3,10000,1,torch_mlp_cuda,1.2293579999823123,0.7509935814044358,2.1487869255971916,1.7071468830108643,
feats5_snr3_N10000,5,3,10000,2,torch_mlp_cuda,1.136786499992013,0.749539561900894,2.1536908650485573,1.7049784660339355,
feats5_snr3_N10000,5,3,10000,3,torch_mlp_cuda,1.206243499997072,0.7485025960013634,2.1433021900688902,1.6978676319122314,
feats5_snr3_N10000,5,3,10000,4,torch_mlp_cuda,1.1338755000615492,0.7439777135586423,2.1778436333999114,1.725872278213501,
feats5_snr3_N10000,5,3,10000,5,torch_mlp_cuda,1.3039847000036389,0.7325190017115464,2.189084596270529,1.7303929328918457,
feats5_snr3_N10000,5,3,10000,6,torch_mlp_cuda,1.173332400037907,0.7466561045940752,2.160633772483807,1.722753882408142,
feats5_snr3_N10000,5,3,10000,7,torch_mlp_cuda,1.142661300022155,0.7480697910165997,2.175262224898486,1.7199465036392212,
feats5_snr3_N10000,5,3,10000,8,torch_mlp_cuda,1.1828723999205977,0.7392101166579644,2.1908568647283406,1.7374035120010376,
feats5_snr3_N10000,5,3,10000,9,torch_mlp_cuda,1.139527100021951,0.7446970862773212,2.1808970387120836,1.7261677980422974,
feats5_snr3_N500000,5,3,500000,0,torch_mlp_cuda,60.15331900003366,0.7498612443820005,1.1417518170941392,0.910825252532959,
feats5_snr3_N500000,5,3,500000,1,torch_mlp_cuda,58.8197921999963,0.750103124868128,1.142203245041395,0.9116820693016052,
feats5_snr3_N500000,5,3,500000,2,torch_mlp_cuda,59.625078100012615,0.7485411539122448,1.1420848857744297,0.9111788868904114,
feats5_snr3_N500000,5,3,500000,3,torch_mlp_cuda,60.01574389997404,0.7488384082208497,1.1425040457422255,0.9113167524337769,
feats5_snr3_N500000,5,3,500000,4,torch_mlp_cuda,58.84661990008317,0.7486279400107667,1.1443464110390467,0.9132428765296936,
feats5_snr3_N500000,5,3,500000,5,torch_mlp_cuda,59.64333520003129,0.7495939718093547,1.1429294665476648,0.9113286137580872,
feats5_snr3_N500000,5,3,500000,6,torch_mlp_cuda,60.36796870001126,0.7481262376816056,1.1430096194612578,0.9115103483200073,
feats5_snr3_N500000,5,3,500000,7,torch_mlp_cuda,59.38902710005641,0.7485570686706964,1.1429333778482655,0.912051260471344,
feats5_snr3_N500000,5,3,500000,8,torch_mlp_cuda,59.91836500004865,0.7486940428838855,1.1426679526989116,0.9114768505096436,
feats5_snr3_N500000,5,3,500000,9,torch_mlp_cuda,60.05083179997746,0.7492939756322528,1.142425839961753,0.9116438627243042,
