dataset,round,method,train_time,adj_r2,rmse,mae,nan_detected
feats10_snr3_N10000,6,torch_MP,0.027989900001557544,-1.8216735477986568,4.8794883215884,2.8498573303222656,False
feats10_snr3_N10000,7,torch_MP,0.18717829999513924,0.7213303761817716,1.5383219220009243,1.2218133211135864,False
feats10_snr3_N10000,8,torch_MP,0.00972230001934804,,,,True
feats10_snr3_N10000,9,torch_MP,0.011905999999726191,,,,True
feats10_snr3_N500000,0,torch_MP,0.03498260001651943,,,,True
feats10_snr3_N500000,1,torch_MP,0.013738699984969571,,,,True
feats10_snr3_N500000,2,torch_MP,0.021688599983463064,,,,True
feats10_snr3_N500000,3,torch_MP,0.02178989999811165,,,,True
feats10_snr3_N500000,4,torch_MP,0.2251354000181891,0.43294837812042763,1.6057906002237552,1.2546284198760986,False
feats10_snr3_N500000,5,torch_MP,0.014095199992880225,,,,True
feats10_snr3_N500000,6,torch_MP,2.266149100003531,0.7463767406720524,1.0738162864679135,0.8557887673377991,False
feats10_snr3_N500000,7,torch_MP,0.011114399996586144,,,,True
feats10_snr3_N500000,8,torch_MP,2.328850899997633,0.7421439263240112,1.0811748765194942,0.8624527454376221,False
feats10_snr3_N500000,9,torch_MP,0.10087679998832755,-0.8634202793349688,2.908179842187693,2.1679651737213135,False
feats20_snr10_N100000,0,torch_MP,0.3960823999950662,0.9011513963331278,1.4280089650500467,1.136654257774353,False
feats20_snr10_N100000,1,torch_MP,1.239446899999166,0.8979618680472611,1.4437555948784822,1.1458165645599365,False
feats20_snr10_N100000,2,torch_MP,0.30879220002680086,0.9004978083813352,1.4253057653748513,1.1362143754959106,False
feats20_snr10_N100000,3,torch_MP,0.1392002000065986,0.8930428152160295,1.4850077033565585,1.1599160432815552,False
feats20_snr10_N100000,4,torch_MP,0.30316270000184886,0.8964038350582647,1.4523741720459713,1.1560883522033691,False
feats20_snr10_N100000,5,torch_MP,0.2836640999885276,0.9001888135116892,1.4298292412874771,1.1392829418182373,False
feats20_snr10_N100000,6,torch_MP,0.9323918999871239,0.8980875052897049,1.444289386610381,1.1515101194381714,False
feats20_snr10_N100000,7,torch_MP,0.00919770001200959,,,,True
feats20_snr10_N100000,8,torch_MP,0.36925780001911335,0.9017619921388349,1.421941986182876,1.1338715553283691,False
feats20_snr10_N100000,9,torch_MP,0.791760099993553,0.9007792548855283,1.4247759057236902,1.1346626281738281,False
feats20_snr10_N10000,0,torch_MP,0.16230959998210892,0.8907119833362416,1.6770679718009063,1.333144187927246,False
feats20_snr10_N10000,1,torch_MP,0.11193810001714155,0.8909895999720355,1.6797064491799958,1.3337372541427612,False
feats20_snr10_N10000,2,torch_MP,0.10745969999697991,0.8906731445355022,1.6843688313613636,1.34028160572052,False
feats20_snr10_N10000,3,torch_MP,0.15266770002199337,0.878941552637571,1.7848773629938093,1.4142500162124634,False
feats20_snr10_N10000,4,torch_MP,0.010078199993586168,,,,True
feats20_snr10_N10000,5,torch_MP,0.4841172999877017,0.8703255626565842,1.852770125840206,1.3837659358978271,False
feats20_snr10_N10000,6,torch_MP,0.13122819998534396,0.8900113888212082,1.7153933954162228,1.3596934080123901,False
feats20_snr10_N10000,7,torch_MP,0.0058858999982476234,,,,True
