dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae
feats10_snr3_N100000,10,3,100000,0,LR,0.014369699987582862,0.7099577997122872,1.940096121115721,1.5431404548343735
feats10_snr3_N100000,10,3,100000,1,LR,0.014712600037455559,0.7077922984894736,1.927768557275472,1.5352277216010524
feats10_snr3_N100000,10,3,100000,2,LR,0.015778200002387166,0.708757235043924,1.9282202316674342,1.5358299302810017
feats10_snr3_N100000,10,3,100000,3,LR,0.01714540005195886,0.7099203148524245,1.9341091931330152,1.5389587223157042
feats10_snr3_N100000,10,3,100000,4,LR,0.014018699992448092,0.7087844301946682,1.9252570302712306,1.5334017610091455
feats10_snr3_N100000,10,3,100000,5,LR,0.017772399936802685,0.7080294258080155,1.9282883384141853,1.5355646854463605
feats10_snr3_N100000,10,3,100000,6,LR,0.019494300009682775,0.7093508752491021,1.9251897426305316,1.5327319726790483
feats10_snr3_N100000,10,3,100000,7,LR,0.020386000047437847,0.7056711000575868,1.9319112798887703,1.536609410584587
feats10_snr3_N100000,10,3,100000,8,LR,0.017484899959526956,0.709170412550292,1.9266045442076003,1.5300798355409229
feats10_snr3_N100000,10,3,100000,9,LR,0.021869800053536892,0.709111876195946,1.9294563054047387,1.534315587539468
feats10_snr3_N10000,10,3,10000,0,LR,0.002279800013639033,0.6952106838942848,1.6057200339674123,1.271845844651982
feats10_snr3_N10000,10,3,10000,1,LR,0.0015570999821648002,0.6799521708138905,1.626553577389278,1.289724370719672
feats10_snr3_N10000,10,3,10000,2,LR,0.0015141000039875507,0.6887615357146044,1.623747256260718,1.294738023550809
feats10_snr3_N10000,10,3,10000,3,LR,0.0014224000042304397,0.6876575343799891,1.6114054218441076,1.276558939396628
feats10_snr3_N10000,10,3,10000,4,LR,0.002648100024089217,0.689025347369929,1.622937774934391,1.2903158908742298
feats10_snr3_N10000,10,3,10000,5,LR,0.0016376000130549073,0.6941389947167418,1.609315672793628,1.2781473859438683
feats10_snr3_N10000,10,3,10000,6,LR,0.001700800028629601,0.6852549594029578,1.6296808828373868,1.2962525935557623
feats10_snr3_N10000,10,3,10000,7,LR,0.0018128000665456057,0.6842620627547907,1.6374493853912306,1.3015725240340843
feats10_snr3_N10000,10,3,10000,8,LR,0.002460499992594123,0.6860151397650343,1.6166933228414506,1.281533543461472
feats10_snr3_N10000,10,3,10000,9,LR,0.0021826999727636576,0.6821713803059071,1.6324507085978992,1.2990000358492093
feats10_snr3_N500000,10,3,500000,0,LR,0.08183370006736368,0.636530692669061,1.2856773478505965,1.0174838081298405
feats10_snr3_N500000,10,3,500000,1,LR,0.08542500005569309,0.6368779617455153,1.2840899657585318,1.0158938441192606
feats10_snr3_N500000,10,3,500000,2,LR,0.08571310003753752,0.6354881040067362,1.2846213038607412,1.0150719470843914
feats10_snr3_N500000,10,3,500000,3,LR,0.08151300007011741,0.6358751676998154,1.2858661580602402,1.0165530323916012
feats10_snr3_N500000,10,3,500000,4,LR,0.09386980009730905,0.6368800984468546,1.2849970607101753,1.016020927001759
feats10_snr3_N500000,10,3,500000,5,LR,0.10751739994157106,0.6352466020380221,1.2869100591385,1.0174392337264082
feats10_snr3_N500000,10,3,500000,6,LR,0.09259790007490665,0.6371489522525453,1.2843980123508183,1.0160466909866597
feats10_snr3_N500000,10,3,500000,7,LR,0.08744589996058494,0.6372459018709964,1.2849970998818945,1.0166205005718418
feats10_snr3_N500000,10,3,500000,8,LR,0.1020993998972699,0.6348618141583098,1.2865768840354772,1.0174506011498712
feats10_snr3_N500000,10,3,500000,9,LR,0.07598480000160635,0.6352268523580508,1.2866996618571125,1.0178887788574724
feats20_snr10_N100000,20,10,100000,0,LR,0.029255200061015785,0.8611424612654239,1.6925072726189487,1.3362304002486223
feats20_snr10_N100000,20,10,100000,1,LR,0.02876540005672723,0.8593498881214419,1.6950505495203452,1.3373129962496073
feats20_snr10_N100000,20,10,100000,2,LR,0.03090170002542436,0.8593935248637294,1.694315372088371,1.3369654078948248
feats20_snr10_N100000,20,10,100000,3,LR,0.02822450001258403,0.8602546816005052,1.6974293830030955,1.3396142929935044
feats20_snr10_N100000,20,10,100000,4,LR,0.03675330011174083,0.8588583482818333,1.695251587222863,1.3392312297319615
feats20_snr10_N100000,20,10,100000,5,LR,0.034061499987728894,0.8590783553176933,1.698959321274276,1.3407319135415146
feats20_snr10_N100000,20,10,100000,6,LR,0.03591949993278831,0.8601218314444395,1.692059209046064,1.336013983984514
